sb	name	pv	pos_peak	pos_avg	pos_ngy	neg_peak	neg_avg	neg_cnt	neg_ngy	mwh 	mw1	max pw	trxno	lat+long	DT	MT1	MT3	E5:GWh	E2:GWh	SPP	VSPP	REPL

ระยอง
PKA	ภูเก็ต 1	ภูเก็ต	115.65	39.760536	174068.55	10.3	8.363027	79	76.59	0	0	100	2	https://maps.google.com/?q=7.9178,98.3927	1524	36517	3956	731	653	0	0	0
PKB	ภูเก็ต 2	ภูเก็ต	111.43001	29.665565	129933.555	1.99	1.99	1	0.4975	0	0	113	4	https://maps.google.com/?q=7.8599,98.3424	1259	32415	3509	507	453	0	0	0
PKC	ภูเก็ต 3	ภูเก็ต	89.6	20.362665	79994.27	27.92	14.37244	7915	4329.2446	0	0	100	2	https://maps.google.com/?q=7.8424,98.3844	718	20261	1635	450	402	0	0	0
TLG	ถลาง 1	ภูเก็ต	120.51001	35.184517	154045.19	40.68	21.577515	84	83.66751	22	11	100	2	https://maps.google.com/?q=7.9933,98.3537	1796	38369	2856	865	773	0	0	0
TLH	ถลาง 2	ภูเก็ต	111.03999	30.45394	133160.77	14.48	7.4791265	725	183.525	0	0	100	2	https://maps.google.com/?q=8.1256,98.3362	1287	20592	1799	845	756	0	0	0

ระนอง
RNA	ระนอง 1	ระนอง	46.94	7.134034	30917.463	4.05	2.050735	2361	1210.4463	0	0	63	2	https://maps.google.com/?q=9.7433,98.5945	966	18760	352	364	325	0	1	0
RNB	ระนอง 2	ระนอง	107.47	29.53189	129347.47	1.72	1.3475	4	1.3475	9	4.5	100	2	https://maps.google.com/?q=10.0029,98.6572	1472	39539	2008	613	538	0	0	0

สมุทรสงคราม
SSA	สมุทรสงคราม	สมุทรสงคราม	80.59	32.32666	141314.61	4.67	3.401771	194	28.630003	4	2	100	2	https://maps.google.com/?q=13.4506,100.0806	1279	29666	1883	787	702	0	0	0
