sb	name	pv	pos_peak	pos_avg	pos_ngy	neg_peak	neg_avg	neg_cnt	neg_ngy	mwh 	mw1	max pw	trxno	lat+long	DT	MT1	MT3	E5:GWh	E2:GWh	SPP	VSPP	REPL

ระยอง
WYA	วังน้ำเย็น	สระแก้ว	60.57	12.552304	48832.5	29.59	7.533176	20382	6337.44	0	0	100	2	https://maps.google.com/?q=13.4126,102.1979	1334	33880	855	280	250	0	0	0

พระนครศรีอยุธยา
AYA	อยุธยา 1	พระนครศรีอยุธยา	83.61	27.763054	119300.07	6.56	2.8408067	15104	3516.5486	0	0	100	2	https://maps.google.com/?q=14.3631,100.5532	1189	31155	1908	655	583	0	2	0
AYB	อยุธยา 2	พระนครศรีอยุธยา	59.79	18.947529	82989.36	2.34	2.34	1	0.585	0	0	100	2	https://maps.google.com/?q=14.3832,100.6036	886	17487	1217	553	493	0	0	0
BIA	บางปะอิน 1	พระนครศรีอยุธยา	89.229996	27.45008	120227.4	3.6499999	2.6599998	5	1.0374999	0	0	100	2	https://maps.google.com/?q=14.2121,100.5872	1613	26965	1568	852	759	0	1	0
BLS	บ้านลาดทราย	พระนครศรีอยุธยา	101.75	35.976105	157573.05	2.01	2.01	3	0.5025	44	22	100	2	https://maps.google.com/?q=14.2052,100.6647	1102	15530	1028	852	760	0	0	0
BPH	บางพระครู	พระนครศรีอยุธยา	48.46	12.8807	49154.016	7.58	3.9161823	14959	10170.356	0	0	100	2	https://maps.google.com/?q=14.4991,100.5913	292	4208	269	306	273	0	1	0
BPI	บางปะหัน	พระนครศรีอยุธยา	47.73	10.850997	43992.742	31.18	13.918329	15162	13945.209	0	0	100	2	https://maps.google.com/?q=14.5038,100.5193	748	15107	664	321	287	0	4	0
BSA	บางไทร	พระนครศรีอยุธยา	73.11	24.350643	94858.15	20.7	7.7773943	9625	5571.505	0	0	100	2	https://maps.google.com/?q=14.1781,100.4801	658	9777	366	288	257	0	3	0
LBL	ลาดบัวหลวง	พระนครศรีอยุธยา	46.2	14.27889	61175.03	15.549999	7.6282873	11541	4438.8843	0	0	100	2	https://maps.google.com/?q=14.1920,100.2916	1100	15614	775	379	337	0	3	0
NKL	นครหลวง	พระนครศรีอยุธยา	51.670002	17.220972	75416.78	22.509998	16.791348	33	23.57	0	0	100	2	https://maps.google.com/?q=14.4540,100.6679	966	20549	761	552	492	0	0	0
RCO	โรจนะ 2	พระนครศรีอยุธยา	94.869995	32.56225	140872.47	40.33	25.919298	5489	2035.926	0	0	100	2	https://maps.google.com/?q=14.3052,100.6144	1477	28281	1538	872	777	0	1	0
RCQ	โรจนะ 3	พระนครศรีอยุธยา	24.73	12.761535	53079.344	5.54	2.112956	3637	1438.3284	0	0	100	2	https://maps.google.com/?q=14.3273,100.6683	248	3305	149	288	258	2	1	0
RCR	โรจนะ 4	พระนครศรีอยุธยา	41.440002	10.421298	45645.28	0	0	0	0	0	0	100	3	https://maps.google.com/?q=14.3437,100.6836	388	5679	465	242	216	1	0	0
SNA	เสนา	พระนครศรีอยุธยา	81.96	28.81651	125932.62	12.559999	4.6904697	368	46.5675	35	17.5	100	2	https://maps.google.com/?q=14.3130,100.3981	1757	44196	1930	624	555	0	2	0
WAA	วังน้อย 1	พระนครศรีอยุธยา	102.70999	29.4384	127159.65	14.559999	6.177068	1487	537.27484	0	0	100	2	https://maps.google.com/?q=14.2494,100.7033	1166	23458	1013	573	510	0	2	0

ฉะเชิงเทรา
BAK	บางคล้า	ฉะเชิงเทรา	95.490005	31.66209	138679.73	0.83	0.83	1	0.2075	0	0	100	2	https://maps.google.com/?q=13.8552,101.1632	1503	22841	2386	529	472	0	0	0
BAP	บางน้ำเปรี้ยว	ฉะเชิงเทรา	88.68	29.806417	130551.766	1.11	1.11	1	0.2775	0	0	100	2	https://maps.google.com/?q=13.8705,101.1457	1432	26125	1687	492	439	0	0	0
BGR	บางปะกง 3	ฉะเชิงเทรา	45.49	10.2774935	44973.195	6.61	3.5654206	145	37.955	0	0	100	2	https://maps.google.com/?q=13.4839,100.9727	340	6793	621	261	233	0	0	0
BWA	บางวัว 1	ฉะเชิงเทรา	62.74	21.402885	93738.1	19.089998	15.955714	32	35.525	0	0	100	2	https://maps.google.com/?q=13.5159,100.9824	733	12177	779	627	560	0	0	0
BWB	บางวัว 2	ฉะเชิงเทรา	58.99	25.940586	113618.24	1.08	1.08	3	0.27	0	0	100	2	https://maps.google.com/?q=13.5271,100.9675	711	17324	961	499	445	0	0	0
CCA	ฉะเชิงเทรา 1	ฉะเชิงเทรา	97.66999	31.53968	138120.23	0.67999995	0.35095236	45	1.4325	0	0	100	2	https://maps.google.com/?q=13.6253,101.0324	1289	26414	2068	733	654	0	1	0
CCB	ฉะเชิงเทรา 2	ฉะเชิงเทรา	75.68	21.701723	95053.4	2.18	2.18	1	0.545	0	0	100	2	https://maps.google.com/?q=13.6604,101.0879	987	16888	1656	541	483	0	0	0
FYU	แปลงยาว (ช)	ฉะเชิงเทรา	37.989998	17.828417	78013.414	5.48	3.7575116	74	43.972492	0	0	50	1	https://maps.google.com/?q=13.5839,101.2781	911	20164	583	406	362	0	0	0
KOB	คลองใหม่ 2	ฉะเชิงเทรา	31.66	12.131208	52915.8	3.7400002	1.6030467	678	35.747498	0	0	100	2	https://maps.google.com/?q=13.6080,100.9815	226	2425	167	286	255	0	0	0
KWA	คลองขวาง 1	ฉะเชิงเทรา	75.600006	17.13964	75071.234	4.7	2.5636363	23	5.7	0	0	100	2	https://maps.google.com/?q=13.7334,101.0253	882	21243	1504	613	547	0	0	0
KWB	คลองขวาง 2	ฉะเชิงเทรา	78.729996	27.402468	119736.11	3.1599998	2.4836924	415	37.051247	0	0	100	2	https://maps.google.com/?q=13.7584,100.9922	686	12372	527	547	489	0	1	0
PHA	พนมสารคาม	ฉะเชิงเทรา	81.65	36.18901	158343.98	2.27	0.8823855	197	21.7975	29	14.5	100	2	https://maps.google.com/?q=13.7845,101.5276	1509	32275	2022	532	474	1	3	0
SNK	สนามชัยเขต	ฉะเชิงเทรา	71.310005	23.141665	101359.82	2.83	2.83	1	0.7075	19	9.5	100	2	https://maps.google.com/?q=13.5772,101.9042	1726	37840	621	466	416	2	0	0

สมุทรสาคร
BAL	บางปลา	สมุทรสาคร	103.17	39.83671	174483.13	2.54	2.2749999	3	1.0525	0	0	100	2	https://maps.google.com/?q=13.5868,100.2473	555	9070	670	527	471	0	0	0
BNP	บ้านแพ้ว	สมุทรสาคร	94.44999	20.481565	87641.07	11.91	5.6022034	8436	5094.1934	17	8.5	100	2	https://maps.google.com/?q=13.5665,100.1165	1233	20929	2126	617	551	0	0	0
EKA	เอกชัย 1	สมุทรสาคร	104.049995	43.533794	190658.1	15.459999	9.708611	21	9.0925	0	0	100	2	https://maps.google.com/?q=13.5840,100.3187	832	10807	1393	592	529	0	0	0
EKB	เอกชัย 2	สมุทรสาคร	83.7	23.585636	103170.01	21.77	15.00876	279	249.30249	0	0	100	2	https://maps.google.com/?q=13.5564,100.2863	466	5580	934	357	318	0	0	0
KTA	กระทุ่มแบน 1	สมุทรสาคร	85.78999	31.349497	137309.58	1.98	1.98	2	0.495	0	0	100	2	https://maps.google.com/?q=13.6447,100.2972	732	11488	1007	604	540	0	0	0
KTD	กระทุ่มแบน 4	สมุทรสาคร	67.38	27.265953	119113.39	3.4899998	3.444292	381	142.22496	0	0	100	2	https://maps.google.com/?q=13.6766,100.2690	417	6680	448	409	365	0	0	0
KTE	กระทุ่มแบน 5	สมุทรสาคร	99.78999	42.576683	186485.48	3.22	1.8100001	2	0.90500003	0	0	100	2	https://maps.google.com/?q=13.6388,100.2407	1139	17059	1729	760	679	0	0	0
ONA	อ้อมน้อย 1	สมุทรสาคร	96.72	30.598064	134012.25	21.96	18.158333	14	7.119999	0	0	100	2	https://maps.google.com/?q=13.7122,100.3148	551	8048	806	524	468	0	0	0
ONB	อ้อมน้อย 2	สมุทรสาคร	84.43001	28.777533	126004.69	11.190001	6.4747796	42	7.3625	0	0	100	2	https://maps.google.com/?q=13.6714,100.3079	845	15726	1218	620	553	0	0	0
ONC	อ้อมน้อย 3	สมุทรสาคร	74.07	24.268578	106275.84	18.18	9.544174	759	208.71756	0	0	100	2	https://maps.google.com/?q=13.7060,100.2976	366	8959	586	397	354	0	0	0
OND	อ้อมน้อย 4	สมุทรสาคร	57.759995	10.98581	48117.848	0	0	0	0	0	0	100	2	https://maps.google.com/?q=13.7163,100.3220	389	8690	907	246	219	0	0	0
ONU	อ้อมน้อย 5 (ช)	สมุทรสาคร	31.44	5.8934646	25809.615	2.47	2.47	14	0.6475	0	0	50	1	https://maps.google.com/?q=13.6868,100.3266	219	3284	357	189	169	0	0	0
SAA	สามพราน 1	สมุทรสาคร	109.33	20.844305	91297.84	11.46	11.46	1	2.865	0	0	150	3	https://maps.google.com/?q=13.6908,100.2927	256	4322	308	274	245	0	0	0
SMA	สมุทรสาคร 1	สมุทรสาคร	83.21001	37.09294	162467.06	0.01	0.01	2	0.005	0	0	150	3	https://maps.google.com/?q=13.5930,100.2827	726	12255	937	536	478	0	0	0
SMB	สมุทรสาคร 2	สมุทรสาคร	145.18999	46.5733	195649.58	29.53	10.450309	19532	2189.4602	36	18	150	3	https://maps.google.com/?q=13.5418,100.2293	776	7853	718	737	659	0	0	0
SMD	สมุทรสาคร 4	สมุทรสาคร	85.48	14.383979	63000.785	2.21	1.75	3	0.72999996	0	0	100	2	https://maps.google.com/?q=13.5446,100.2643	282	6392	1152	158	140	0	0	0
SME	สมุทรสาคร 5	สมุทรสาคร	87.560005	39.92037	165030.23	20.89	8.300296	12249	4861.1787	0	0	100	2	https://maps.google.com/?q=13.5094,100.1329	850	9587	831	644	575	0	0	0
SMF	สมุทรสาคร 6	สมุทรสาคร	112.399994	49.1455	213306.33	17.570002	9.030669	3403	775.44543	39	19.5	100	2	https://maps.google.com/?q=13.5591,100.3134	1476	25082	2260	750	668	0	1	0
SMG	สมุทรสาคร 7	สมุทรสาคร	74.33	24.189625	105942.914	11.120001	7.9674997	7	2.8175	0	0	100	2	https://maps.google.com/?q=13.5830,100.2919	350	3112	324	301	269	0	0	0

ปทุมธานี
BKA	บางขันธ์ 1	ปทุมธานี	127.07	39.059975	171075	17.75	12.266667	10	5.2425003	0	0	150	3	https://maps.google.com/?q=14.0587,100.6167	1143	23088	1806	786	701	0	0	0
BMA	บ้านใหม่ 1	ปทุมธานี	70.32	23.995935	105100.96	2.1000001	1.575	4	0.53000003	0	0	100	2	https://maps.google.com/?q=13.9766,100.5691	891	20106	1446	444	394	0	0	0
BMB	บ้านใหม่ 2	ปทุมธานี	66.71	22.614151	99046.7	5.2599998	5.15	4	1.4575	0	0	100	2	https://maps.google.com/?q=13.9920,100.5825	909	19177	1463	448	398	1	0	0
