ระยอง
พิษณุโลก	QRA	7	22682.55	16240	671	17122
พิษณุโลก	PLZ	0	35605.59	2	748	14075
พิษณุโลก	PLD	0	0	0	0	0
ราชบุรี
ราชบุรี	DNA	0	185467.31	1	2168	65135
ราชบุรี	PTH	0	168282.8	2	1822	44734
ราชบุรี	RBB	0	115596.65	1005	1481	37212
ราชบุรี	BPB	33	119847.99	24669	1146	34887
ราชบุรี	PTR	0	138510.45	58	1089	34627
ราชบุรี	BPA	0	157188.81	12	1248	29598
ราชบุรี	CBN	0	113452.1	3749	1485	25746
ราชบุรี	XPA	0	0	0	1186	23313
ราชบุรี	RBC	0	79819.266	0	1026	21721
ราชบุรี	PTS	0	37255.008	111	710	15836
ราชบุรี	NOM	0	85547.26	1810	637	15502
ราชบุรี	RBA	0	89445.41	170	533	15140
ราชบุรี	RBU	0	58023.44	22	703	12606
ราชบุรี	BPC	0	0	0	0	0
ขอนแก่น
ขอนแก่น	NOA	23	83378.734	39328	1876	91002
ขอนแก่น	KRA	0	104261.13	6092	1932	88187
ขอนแก่น	POA	9	31771.096	15952	1776	76990
ขอนแก่น	KKC	52	188944.5	16745	2752	75632
ขอนแก่น	BCA	0	129055.46	3587	1981	75301
ขอนแก่น	CHA	0	77290.47	6085	1712	73985
ขอนแก่น	NQA	15	53743.51	21789	1290	46532
ขอนแก่น	KKB	0	162726.28	659	1463	42397
ขอนแก่น	KKA	0	202335.9	1135	1759	41383
ขอนแก่น	KKD	0	0	0	1	2
ขอนแก่น	KKE	0	0	0	0	0
ขอนแก่น	KKV	0	0	0	0	0
นครปฐม
นครปฐม	KSA	37	134042.13	31112	2041	39586
นครปฐม	NPU	43	156327.47	15817	1227	34171
นครปฐม	DTM	0	125098.89	9616	1150	26579
นครปฐม	NPT	0	171535.03	32	904	25612
นครปฐม	NCB	0	110632.52	3157	982	24760
นครปฐม	NPV	0	153031.48	3	929	23838
นครปฐม	PMB	0	134200.9	32	980	20965
นครปฐม	SLY	0	98938.94	3	1116	20831
นครปฐม	SAB	27	96142.18	16127	756	20600
นครปฐม	NCA	0	95973.69	664	720	18031
นครปฐม	OYL	0	147739.3	3	640	13247
นครปฐม	OYI	0	83001.734	2638	592	12770
