ระยอง	1876.99	627.3862	105.3	72.84836	2390	48	19190	448961	13150.801883731632	11740.046819350797	15	1	0
===	BSA	บางไทร	พระนครศรีอยุธยา	73.11	24.350643	20.7	7.7773943	100	2	14.178058624267578	100.48008728027344
===	LBL	ลาดบัวหลวง	พระนครศรีอยุธยา	46.2	14.27889	15.549999	7.6282873	100	2	14.192045211791992	100.29164123535156
===	NKL	นครหลวง	พระนครศรีอยุธยา	51.670002	17.220972	22.509998	16.791348	100	2	14.454029083251953	100.6678695678711
===	RCN	โรจนะ 1	พระนครศรีอยุธยา	40.5	4.015469	2.1499999	2.1342306	80	2	14.320361137390137	100.6426010131836
===	RCO	โรจนะ 2	พระนครศรีอยุธยา	94.869995	32.56225	40.33	25.919298	100	2	14.30517292022705	100.61444091796875
===	RCQ	โรจนะ 3	พระนครศรีอยุธยา	24.73	12.761535	5.54	2.112956	100	2	14.32728099822998	100.66832733154297
===	RCR	โรจนะ 4	พระนครศรีอยุธยา	41.440002	10.421298	0	0	100	3	14.343685150146484	100.68360137939453
===	RCS	โรจนะ 5	พระนครศรีอยุธยา	55.860004	10.007471	3.48	1.7910637	100	2	14.337078094482422	100.63345336914063
===	SNA	เสนา	พระนครศรีอยุธยา	81.96	28.81651	12.559999	4.6904697	100	2	14.312967300415039	100.39814758300781
===	WAA	วังน้อย 1	พระนครศรีอยุธยา	102.70999	29.4384	14.559999	6.177068	100	2	14.249419212341309	100.70332336425781
===	WAB	วังน้อย 2	พระนครศรีอยุธยา	82.92999	25.296185	0.03	0.03	100	2	14.270474433898926	100.7957992553711
ฉะเชิงเทรา	2516.09	493.1452	62.29001	43.90467	1950	40	14555	282227	9041.131295940857	8072.509044309646	3	5	0
===	BAK	บางคล้า	ฉะเชิงเทรา	95.490005	31.66209	0.83	0.83	100	2	13.85522174835205	101.16316223144531
===	BAP	บางน้ำเปรี้ยว	ฉะเชิงเทรา	88.68	29.806417	1.11	1.11	100	2	13.870491027832031	101.1456527709961
===	BGR	บางปะกง 3	ฉะเชิงเทรา	45.49	10.2774935	6.61	3.5654206	100	2	13.483881950378418	100.97274780273438
===	BSK	บางสมัคร 2	ฉะเชิงเทรา	77.41	18.052887	1.53	0.935	100	3	13.566917419433594	100.93871307373047
===	BSL	บางสมัคร 3	ฉะเชิงเทรา	64.15	27.410946	1.37	0.5104785	100	2	13.606340408325195	100.94466400146484
===	BSM	บางสมัคร 1	ฉะเชิงเทรา	123.25	69.23532	2.31	1.4143354	150	3	13.579451560974121	100.92585754394531
===	BSU	บางสมัคร 4 (ช)	ฉะเชิงเทรา	1199.9	24.960419	0.08	0.08	50	1	13.579303741455078	100.95022583007813
===	BWA	บางวัว 1	ฉะเชิงเทรา	62.74	21.402885	19.089998	15.955714	100	2	13.515888214111328	100.98235321044922
===	BWB	บางวัว 2	ฉะเชิงเทรา	58.99	25.940586	1.08	1.08	100	2	13.527091979980469	100.96754455566406
===	CCA	ฉะเชิงเทรา 1	ฉะเชิงเทรา	97.66999	31.53968	0.67999995	0.35095236	100	2	13.625282287597656	101.03243255615234
===	CCB	ฉะเชิงเทรา 2	ฉะเชิงเทรา	75.68	21.701723	2.18	2.18	100	2	13.660390853881836	101.08790588378906
===	CCX	ฉะเชิงเทรา 3 (ช)	ฉะเชิงเทรา	64.47	17.229008	2.97	1.5024999	50	1	0	0
===	FYU	แปลงยาว (ช)	ฉะเชิงเทรา	37.989998	17.828417	5.48	3.7575116	50	1	13.583878517150879	101.27814483642578
===	HSR	หัวสำโรง	ฉะเชิงเทรา	45.989998	15.689096	0	0	100	2	13.600637435913086	101.3443374633789
===	KOB	คลองใหม่ 2	ฉะเชิงเทรา	31.66	12.131208	3.7400002	1.6030467	100	2	13.607951164245605	100.98149108886719
===	KWA	คลองขวาง 1	ฉะเชิงเทรา	75.600006	17.13964	4.7	2.5636363	100	2	13.733445167541504	101.02534484863281
===	KWB	คลองขวาง 2	ฉะเชิงเทรา	78.729996	27.402468	3.1599998	2.4836924	100	2	13.757645606994629	100.99266815185547
===	KWU	คลองขวาง 3 (ช)	ฉะเชิงเทรา	39.239998	14.404267	0.27	0.27	50	1	0	0
===	PHA	พนมสารคาม	ฉะเชิงเทรา	81.65	36.18901	2.27	0.8823855	100	2	13.78449535369873	101.52764129638672
===	SNK	สนามชัยเขต	ฉะเชิงเทรา	71.310005	23.141665	2.83	2.83	100	2	13.577190399169922	101.9041976928711
สมุทรสาคร	2122.5396	716.5244	275.61002	172.07088	3105	63	16946	260316	13215.759239181634	11801.50507756081	0	1	0
===	BAL	บางปลา	สมุทรสาคร	103.17	39.83671	2.54	2.2749999	100	2	13.58681869506836	100.24732208251953
===	BNP	บ้านแพ้ว	สมุทรสาคร	94.44999	20.481565	11.91	5.6022034	100	2	13.566514015197754	100.11654663085938
===	EKA	เอกชัย 1	สมุทรสาคร	104.049995	43.533794	15.459999	9.708611	100	2	13.583965301513672	100.31869506835938
===	EKB	เอกชัย 2	สมุทรสาคร	83.7	23.585636	21.77	15.00876	100	2	13.555940628051758	100.2856216430664
===	KTA	กระทุ่มแบน 1	สมุทรสาคร	85.78999	31.349497	1.98	1.98	100	2	13.64467716217041	100.29718780517578
===	KTB	กระทุ่มแบน 2	สมุทรสาคร	89.869995	34.909866	5.6600003	4.08075	100	2	13.62637710571289	100.31121063232422
