sb	name	pv	pos_peak	pos_avg	neg_peak	neg_avg	max pw	trxno	x	y	sb_es
KBJ	กบินทร์บุรี 2	ปราจีนบุรี	103.520004	35.035034	10.87	3.9210167	100	2	14.022639274597168	101.78206634521484	4.3775287
KBK	กบินทร์บุรี 3	ปราจีนบุรี	31.869999	4.5421643	8.7699995	5.377773	50	1	14.059754371643066	101.84146881103516	0.5712745
KBL	กบินทร์บุรี 4	ปราจีนบุรี	38.699997	11.327345	9.700001	7.1609583	100	2	13.914490699768066	101.6520767211914	1.4151831
KBX	กบินทร์บุรี 6 (ช)	ปราจีนบุรี	0	0	0	0	50	1	0	0	0
NSI	นนทรี	ปราจีนบุรี	56.769997	12.255537	35.19	10.5214	100	2	14.010519027709961	101.70252227783203	1.3748977
PAA	ปราจีนบุรี 1	ปราจีนบุรี	85.61	28.98145	14.559999	6.942181	100	2	14.147168159484863	101.31787109375	3.6105533
PAB	ปราจีนบุรี 2	ปราจีนบุรี	41.49	10.286957	9.01	1.2534748	100	2	13.840703010559082	101.54470825195313	1.2579913
PCK	ประจันตคาม	ปราจีนบุรี	38.489998	8.532904	9.25	2.7786431	50	1	14.098499298095703	101.50873565673828	1.041115
SMP	ศรีมหาโพธิ 1	ปราจีนบุรี	85.990005	33.550686	22.32	6.478484	100	2	13.948698997497559	101.51290130615234	4.0837984
SMQ	ศรีมหาโพธิ 2	ปราจีนบุรี	35.04	7.1289716	3.2099998	2.343077	100	2	13.826959609985352	101.52780151367188	0.7622551
CAA	ชะอำ 1	เพชรบุรี	56.81	17.058548	6.92	1.5519829	100	2	12.814993858337402	99.95703125	2.081568
CAB	ชะอำ 2	เพชรบุรี	60.13	20.879862	10.8	4.579329	100	2	12.717710494995117	99.92787170410156	2.516884
CAC	ชะอำ 3	เพชรบุรี	14.08	6.528919	0	0	100	2	12.751605033874512	99.959716796875	0.8201022
CAU	ชะอำ 3 (ช)	เพชรบุรี	33.67	5.850369	0	0	25	1	12.752073287963867	99.95918273925781	0.7340679
KDA	เขื่อนแก่งกระจาน	เพชรบุรี	0	0	0	0	50	2	0	0	0
KHY	เขาย้อย 1	เพชรบุรี	68.06	17.455572	27.11	12.628871	100	2	13.218226432800293	99.81810760498047	2.0378208
KHZ	เขาย้อย 2	เพชรบุรี	77.76	12.977156	27.189999	8.845857	100	2	13.286275863647461	99.78687286376953	1.375526
PBA	เพชรบุรี 1	เพชรบุรี	100.60999	41.76876	1.99	1.99	100	2	13.089743614196777	99.94212341308594	3.9753222
PBB	เพชรบุรี 2	เพชรบุรี	43.06	19.579792	14.33	6.366013	50	1	13.012742042541504	100.04998016357422	2.330503
CDO	เชียงดาว	เชียงใหม่	28.53	9.781777	5.02	3.082581	50	1	19.344127655029297	98.96035766601563	1.232096
CEA	จอมทอง	เชียงใหม่	0	0	0	0	50	2	18.438350677490234	98.689453125	0
CGA	ไชยปราการ	เชียงใหม่	0	0	0	0	50	1	19.7716064453125	99.1606674194336	0
CMA	เชียงใหม่ 1	เชียงใหม่	102.96	32.78582	2.47	2.47	100	2	18.767854690551758	99.00886535644531	4.1309695
CMB	เชียงใหม่ 2	เชียงใหม่	99.49	36.934723	0	0	100	2	18.811601638793945	98.99935913085938	4.6537757
CMC	เชียงใหม่ 3	เชียงใหม่	98.14	31.778532	0	0	100	2	18.717912673950195	98.94290161132813	4.004095
CMD	เชียงใหม่ 4	เชียงใหม่	91.53	29.04545	6.09	5.79	100	2	18.79713249206543	98.96109771728516	3.6595695
CME	เชียงใหม่ 5	เชียงใหม่	22.96	12.200116	0	0	100	2	18.80178451538086	99.01304626464844	0
CMF	เชียงใหม่ 6	เชียงใหม่	29.37	12.668865	5.81	5.476	100	2	18.77733612060547	98.98075103759766	0
CMI	เชียงใหม่ 9	เชียงใหม่	0	0	0	0	50	1	18.765079498291016	99.0008316040039	0
CMU	หายยา (ช)	เชียงใหม่	38.73	11.483915	0	0	25	1	18.774341583251953	98.97946166992188	1.4469733
CMV	เชียงใหม่ 5 (ฟ้าฮ่าม) (ช)	เชียงใหม่	32.34	9.941036	5.7200003	3.6578488	25	3	18.8035888671875	99.01309967041016	1.251657
CMW	เชียงใหม่ 6 (ช้างคลาน) (ช)	เชียงใหม่	0	0	0	0	50	3	18.778663635253906	98.9985580444336	0
CMX	พืชสวนโลก (ช)	เชียงใหม่	0	0	0	0	25	1	0	0	0
DKA	ดอยสะเก็ด	เชียงใหม่	60.429996	18.014582	5.3	5.3	50	2	18.8507080078125	99.08964538574219	2.2528777
FAA	ฝาง	เชียงใหม่	65.32	19.890812	18.77	15.246251	50	1	19.853878021240234	99.19806671142578	2.2856092
FAU	ฝาง (ช)	เชียงใหม่	0	0	0	0	25	1	19.854690551757813	99.19812774658203	0
HOA	ฮอด	เชียงใหม่	12.969999	2.3386123	6.27	3.2540002	75	2	18.222970962524414	98.61219024658203	0.29443166
MRM	แม่ริม	เชียงใหม่	102.16	42.168915	0	0	100	2	18.916362762451172	98.96402740478516	5.3132834
MTA	แม่แตง 1 (ช)	เชียงใหม่	0	0	0	0	25	1	0	0	0
MTU	แม่แตง 2 (ช)	เชียงใหม่	0	0	0	0	40	1	19.09015655517578	98.9105224609375	0
SGA	สันป่าตอง	เชียงใหม่	71.979996	22.297674	17.98	11.280639	100	2	18.635812759399414	98.8979721069336	2.805889
SHA	สารภี	เชียงใหม่	0	0	0	0	50	1	18.698762893676758	99.04930114746094	0
SKP	สันกำแพง	เชียงใหม่	93.020004	36.74947	8.47	4.5	100	2	18.735801696777344	99.08683776855469	4.630248
XSA	สันทราย 1	เชียงใหม่	0	0	0	0	100	2	18.80229949951172	99.03038024902344	0
XSB	สันทราย 2	เชียงใหม่	0	0	0	0	50	1	18.838960647583008	99.0437240600586	0
DOP	ดอนพุด	สระบุรี	58.01	16.873117	16.289999	10.274716	100	2	14.656637191772461	100.59471893310547	1.8439221
KYE	โคกแย้	สระบุรี	43.869995	4.658085	6.59	4.895423	100	2	14.386494636535645	100.9071044921875	0.5801157
MLK	มวกเหล็ก	สระบุรี	45.41	13.519558	15.73	12.081078	100	2	14.631305694580078	101.18406677246094	1.7031722
NOH	หนองแค 1	สระบุรี	74.4	25.461107	3.23	2.9669232	100	2	14.350464820861816	100.85458374023438	3.2078235
NOI	หนองแค 2	สระบุรี	0	0	0	0	0	0	0	0	0
NPL	หนองปลิง	สระบุรี	64.63	19.431877	3.1799998	2.54	100	2	14.374482154846191	100.8340072631836	2.4483597
PJA	พระพุทธบาท 1	สระบุรี	63.819996	19.340508	3.1299999	2.4398265	100	2	14.760261535644531	100.72415924072266	2.4364717
PJB	พระพุทธบาท 2	สระบุรี	82.00001	21.945856	6.1800003	3.2968287	100	2	14.710043907165527	100.83352661132813	2.7305043
PKE	พุแค	สระบุรี	0	0	0	0	100	2	14.768169403076172	100.91374206542969	0
SRA	สระบุรี 1	สระบุรี	83.829994	24.773287	8.24	5.5757527	100	2	14.513398170471191	100.91351318359375	3.1117554
SRB	สระบุรี 2	สระบุรี	53.750004	12.872128	5.33	1.5333182	40	1	14.61393928527832	101.08175659179688	1.5936438
SRD	สระบุรี 4	สระบุรี	48.229996	9.072354	13.030001	7.999357	100	2	14.40883731842041	100.86459350585938	1.142977
SRE	สระบุรี 5	สระบุรี	110.7	35.88455	3.5500002	3.5500002	100	2	14.516403198242188	100.89701080322266	4.5214148
SRF	สระบุรี 6	สระบุรี	43.34	7.1962557	11.18	6.8748465	100	2	14.563634872436523	100.97514343261719	0.90435123
TDA	ตาลเดี่ยว	สระบุรี	79.490005	17.148409	20.11	4.8474708	100	2	14.566253662109375	101.00721740722656	1.6982301
TLA	ท่าลาน 1	สระบุรี	59.25	8.235659	11.21	4.7144117	50	1	14.581713676452637	100.76829528808594	1.0233393
TLC	ท่าลาน 3	สระบุรี	0	0	0	0	0	0	0	0	0
WAM	วังม่วง	สระบุรี	58.15	20.30756	26.82	6.970854	100	2	14.918888092041016	101.20347595214844	2.3296163
WIA	วิหารแดง	สระบุรี	61.319996	17.828672	14.91	2.9736042	50	1	14.378551483154297	100.95735931396484	2.1979632
NAT	นครไทย	พิษณุโลก	27.029999	8.703639	7.18	4.004741	50	1	17.110380172729492	100.81948852539063	1.0936738
PLA	พิษณุโลก 1	พิษณุโลก	76.979996	26.247673	0	0	100	2	16.836450576782227	100.23900604248047	3.3072066
PLC	พิษณุโลก 3	พิษณุโลก	96.08	31.32918	0.95	0.95	100	2	16.785972595214844	100.21745300292969	3.9474545
PLD	พิษณุโลก 4	พิษณุโลก	0	0	0	0	50	1	16.9227352142334	100.17388153076172	0
PLE	พิษณุโลก 5	พิษณุโลก	76.72	19.346832	6.49	4.766314	100	2	16.857402801513672	100.3124771118164	2.4370193
PLZ	พิษณุโลก 6 (ช)	พิษณุโลก	28.85	8.129279	0.64	0.64	25	1	16.775177001953125	100.18356323242188	1.0242703
QRA	พรหมพิราม	พิษณุโลก	27.87	6.2150116	6.8500004	2.4001925	50	1	17.097299575805664	100.14268493652344	0.6525117
WBT	วัดโบสถ์	พิษณุโลก	27.669998	8.583538	3.26	3.0900002	50	2	16.956026077270508	100.33818817138672	1.0814898
WGT	วังทอง	พิษณุโลก	87.96	34.34036	22.23	15.940212	100	2	16.82965660095215	100.4093246459961	4.3211994
BPA	บ้านโป่ง 1	ราชบุรี	91.17999	35.889217	13.16	10.065001	100	3	13.791650772094727	99.95775604248047	4.5218697
BPB	บ้านโป่ง 2	ราชบุรี	90.799995	31.829834	33.66	16.675861	80	2	13.912857055664063	99.93963623046875	3.447682
BPC	บ้านโป่ง 3	ราชบุรี	0	0	0	0	100	2	13.7962007522583	99.95691680908203	0
CBN	จอมบึง	ราชบุรี	73.75	26.172207	19.289999	7.141476	100	2	13.783689498901367	99.447998046875	3.2636902
DNA	ดำเนินสะดวก	ราชบุรี	92.13	42.34435	1.99	1.99	100	2	13.738384246826172	99.99310302734375	5.335361
NOM	หนองปลาหมอ	ราชบุรี	43.719997	19.962282	7.58	3.050837	50	1	13.831345558166504	99.6453857421875	2.4609482
PTH	ปากท่อ	ราชบุรี	92.62	38.42116	2.35	2.085	100	2	13.361795425415039	99.86241149902344	4.841012
PTR	โพธาราม 1	ราชบุรี	88.549995	31.633272	7.4599996	6.6598387	100	2	13.682455062866211	99.87887573242188	3.9845471
PTS	โพธาราม 2	ราชบุรี	33.97	8.517803	3.28	2.582902	50	1	13.719883918762207	99.80282592773438	1.0717194
RBA	ราชบุรี 1	ราชบุรี	84.020004	20.421782	30.599998	20.70665	75	2	13.528940200805664	99.79930114746094	2.507739
RBB	ราชบุรี 2	ราชบุรี	73.770004	26.485273	4.52	2.7236454	100	2	13.505419731140137	99.79492950439453	3.325383
RBC	ราชบุรี 3	ราชบุรี	48.91	18.22358	0	0	100	2	13.563750267028809	99.78826904296875	2.2961707
RBU	ราชบุรี 3 (ช)	ราชบุรี	29.41	13.248538	4.52	4.235965	25	1	13.532869338989258	99.79508972167969	1.6691674
RIU	นิคมอุตสาหกรรมราชบุรี (ช)	ราชบุรี	19.48	5.122346	0	0	50	1	0	0	0.6454156
XPA	สวนผึ้ง	ราชบุรี	0	0	0	0	50	1	13.542143821716309	99.40276336669922	0
BCA	บ้านไผ่	ขอนแก่น	73.020004	30.04472	21.73	14.337063	100	2	16.079313278198242	102.72368621826172	2.8868325
CHA	ชุมแพ	ขอนแก่น	64.72	18.500313	15.640001	6.797733	100	2	16.660619735717773	101.73721313476563	2.4372606
KKA	ขอนแก่น 1	ขอนแก่น	140.54001	46.412373	23.67	13.570925	125	3	16.41356658935547	102.81656646728516	5.8206215
KKB	ขอนแก่น 2	ขอนแก่น	95.47	37.304607	5.48	0.80890715	100	2	16.419109344482422	102.87144470214844	4.681167
KKC	ขอนแก่น 3	ขอนแก่น	104.439995	45.085102	11.97	5.197747	100	3	16.50704574584961	102.80152130126953	5.4353886
KKD	ขอนแก่น 4	ขอนแก่น	0	0	0	0	50	1	16.413373947143555	102.74658966064453	0
KKE	ขอนแก่น 5	ขอนแก่น	0	0	0	0	100	2	16.334396362304688	102.82925415039063	0
KKV	ขอนแก่น 7 (ช)	ขอนแก่น	0	0	0	0	50	1	16.486446380615234	102.88821411132813	0
KRA	กระนวน	ขอนแก่น	73.26	24.689455	21.65	8.054356	100	2	16.68857765197754	103.11732482910156	2.9992929
NOA	หนองเรือ	ขอนแก่น	73.170006	24.554	37.089996	12.717036	100	2	16.487401962280273	102.4634017944336	2.398566
NQA	น้ำพอง	ขอนแก่น	68.18	15.557285	29.08	14.26762	50	2	16.675029754638672	102.79383850097656	1.5455056
POA	พล	ขอนแก่น	34.11	8.82253	17.71	9.5144005	100	2	15.807082176208496	102.5765609741211	0.91396296
BEA	บางเลน 1	นครปฐม	88.920006	28.507652	46.510002	17.715914	100	2	14.039125442504883	100.16815185546875	3.3534727
BEU	บางเลน 2 (ช)	นครปฐม	31.890001	11.432685	4.26	2.852143	25	1	13.897576332092285	100.28117370605469	1.4396802
BEV	บางเลน 3 (ช)	นครปฐม	22.1	9.561126	10.3	5.278055	25	1	14.01008129119873	100.23113250732422	1.1080966
DTM	ดอนตูม	นครปฐม	93.86	29.280613	28.7	12.26188	100	2	13.978355407714844	100.09181213378906	3.598735
KSA	กำแพงแสน	นครปฐม	103.329994	34.44233	27.5	9.12289	100	2	13.987753868103027	99.99341583251953	3.8560064
NCA	นครชัยศรี 1	นครปฐม	68.86	21.928696	0.51	0.2512801	150	4	13.74979019165039	100.18804931640625	2.760887
NCB	นครชัยศรี 2	นครปฐม	78.049995	25.597658	4.0600004	1.7695684	100	2	13.865042686462402	100.20762634277344	3.1825795
NPT	นครปฐม 1	นครปฐม	106.66	39.16899	7.0699997	3.1024601	100	2	13.80057144165039	100.09501647949219	4.9194794
NPU	นครปฐม 2	นครปฐม	104.21	38.433563	24.09	15.962871	100	2	13.874014854431152	99.9981689453125	4.4970913
NPV	นครปฐม 3	นครปฐม	94.48	34.938866	7.92	5.88	100	2	13.811586380004883	100.07880401611328	3.961688
NPW	นครปฐม 4 (ช)	นครปฐม	0	0	0	0	50	1	13.798517227172852	100.02735137939453	0
OYI	อ้อมใหญ่ 1	นครปฐม	93.97	19.005178	15.95	12.533299	100	2	13.729659080505371	100.25006103515625	2.3286295
OYK	อ้อมใหญ่ 2	นครปฐม	92.79	39.850533	12.349999	10.055366	100	2	13.723891258239746	100.2980728149414	5.020367
OYL	อ้อมใหญ่ 3	นครปฐม	82.350006	33.7308	7.1800003	5.5	100	2	13.700196266174316	100.26448822021484	4.250035
PMB	พุทธมณฑล 2	นครปฐม	94.48999	30.643278	21.58	12.894107	100	2	13.802852630615234	100.30236053466797	3.8605742
SAB	สามพราน 2	นครปฐม	75.2	22.576115	20.48	15.831707	100	2	13.731586456298828	100.22893524169922	2.765734
SAC	สามพราน 3	นครปฐม	67.270004	14.729507	17.94	8.20056	50	1	13.781563758850098	100.23723602294922	1.8487632
SAD	สามพราน 4	นครปฐม	67.89	20.95514	9.94	3.643303	50	1	13.722332000732422	100.25283813476563	2.0575888
SAV	สามพราน 5 (ช)	นครปฐม	0	0	0	0	50	1	0	0	0
SLY	ศาลายา	นครปฐม	78.96	22.58917	3.2	3.2	100	2	13.808643341064453	100.32244110107422	2.8461888
BLU	บางกล่ำ	สงขลา	0	0	0	0	25	1	0	0	0
CHN	จะนะ	สงขลา	66.22	17.773987	15.75	8.882145	100	2	0	0	1.5387824
CLU	ฉลุง	สงขลา	59.58	19.322237	11.09	2.5340397	50	1	0	0	1.993953
DDA	ด่านนอก	สงขลา	38.42	8.150962	20.880001	12.256783	50	1	0	0	0.98098165
GOA	คลองแงะ	สงขลา	0	0	0	0	50	1	0	0	0
HYA	หาดใหญ่ 1	สงขลา	93.06	28.273561	5.8199997	2.4224179	100	2	0	0	3.509453
HYB	หาดใหญ่ 2	สงขลา	95.01999	25.352713	3.23	1.3721092	100	2	0	0	3.1719155
HYC	หาดใหญ่ 3	สงขลา	93.229996	41.059635	12.660001	9.019113	100	2	0	0	4.6822834
HYD	หาดใหญ่ 4	สงขลา	102.670006	37.43025	8.929999	1.9523236	100	2	0	0	4.598206
HYE	หาดใหญ่ 5	สงขลา	0	0	0	0	100	2	0	0	0
NJA	นาทวี	สงขลา	9.67	4.152652	0	0	50	1	0	0	0.5230364
PAL	พังลา	สงขลา	48.149998	12.217363	12.88	10.449472	100	2	0	0	1.3894686
ROA	ระโนด	สงขลา	68.21001	19.113686	1.83	0.5450428	100	2	0	0	2.3880143
RTP	รัตภูมิ	สงขลา	105.13	27.920473	9.08	5.18	100	2	0	0	3.5178688
SBY	สะบ้าย้อย	สงขลา	67.5	19.511772	18.720001	14.879476	100	2	0	0	1.9023235
SHN	สิงหนคร	สงขลา	43.95	15.302788	15.029999	12.348437	50	1	0	0	1.9169015
SLA	สงขลา 1	สงขลา	76.409996	13.372351	0	0	150	3	0	0	1.684595
SLB	สงขลา 2	สงขลา	108.63	30.373398	15.02	13.32826	100	2	0	0	3.8262677
SLC	สงขลา 3 (ช)	สงขลา	30.250002	8.628546	2.12	1.5192592	25	1	0	0	0.841411
SLU	สงขลา 2 (ช)	สงขลา	11.09	0.049581617	0	0	25	1	0	0	0
SQA	สะเดา 1	สงขลา	58.749996	11.279468	21.169998	12.771419	50	2	0	0	1.23407
SQB	สะเดา 2 (ช)	สงขลา	31.31	8.5241	9.16	1.5101712	25	1	0	0	1.0656307
SQU	สะเดา 3 (ช)	สงขลา	2.44	0.07396353	0.08	0.07999427	25	1	0	0	0.0000004315068
STU	สทิงพระ (ช)	สงขลา	0	0	0	0	25	1	0	0	0
TUA	ทุ่งลุง	สงขลา	67.64	18.809454	14.92	12.9310465	100	2	0	0	2.3552854
BOA	บ้านดอน 1	สุราษฎร์ธานี	118.16	42.80116	3.4899998	2.7975	100	2	0	0	5.3927865
BOB	บ้านดอน 2	สุราษฎร์ธานี	67.08	23.564445	0.78999996	0.72999996	100	2	0	0	2.968414
CAY	ไชยา	สุราษฎร์ธานี	74.380005	24.216902	32.67	12.057624	100	2	0	0	2.7482738
CLA	เขื่อนรัชชประภา (ช)	สุราษฎร์ธานี	0	0	0	0	50	2	0	0	0
KCD	กาญจนดิษฐ์	สุราษฎร์ธานี	101.39	39.858635	4.24	1.8910558	100	2	0	0	5.017957
KFU	เกาะพะงัน (ช)	สุราษฎร์ธานี	0	0	0	0	25	1	0	0	0
KMU	เกาะสมุย 3 (ช)	สุราษฎร์ธานี	0	0	0	0	50	1	0	0	0
PPA	พุนพิน 1	สุราษฎร์ธานี	113.59	34.059517	6.55	1.2538203	100	2	0	0	4.2874947
PPB	พุนพิน 2	สุราษฎร์ธานี	113.08	30.234243	45.57	29.39838	100	2	0	0	3.0470655
QSA	พระแสง	สุราษฎร์ธานี	0	0	0	0	50	1	0	0	0
WSA	เวียงสระ	สุราษฎร์ธานี	102.28999	33.588043	35.030003	13.804306	100	2	0	0	3.969788
BTA	บรรพตพิสัย	นครสวรรค์	0	0	0	0	25	3	15.970752716064453	100.00608825683594	0
LAA	ลาดยาว	นครสวรรค์	62.18	19.024918	20.09	9.685598	100	2	16.0794734954834	100.1126937866211	2.13304
NOB	หนองบัว	นครสวรรค์	41.079998	14.580482	5.7299995	4.073477	25	1	16.013809204101563	100.62989807128906	1.8336288
NSA	นครสวรรค์ 1	นครสวรรค์	122.3	38.33766	5.92	4.1956663	100	2	15.704111099243164	100.10282135009766	4.8296275
NSB	นครสวรรค์ 2	นครสวรรค์	100.38	39.227715	11.96	6.173649	100	2	15.715553283691406	100.17445373535156	4.940269
NSC	นครสวรรค์ 3	นครสวรรค์	0	0	0.01	0.010000006	50	3	16.039073944091797	100.11711120605469	0
QHA	พยุหะคีรี	นครสวรรค์	44.839996	6.4124746	3.37	1.631237	100	3	15.449831008911133	100.14547729492188	0.8077035
TCA	ท่าตะโก	นครสวรรค์	52.989998	16.456264	4.55	2.0041986	50	2	15.599632263183594	100.42345428466797	2.028193
TKB	ตาคลี 2	นครสวรรค์	66.71	24.230537	6.73	2.6782856	100	2	15.249783515930176	100.2864990234375	2.9967005
BUY	บัวใหญ่	นครราชสีมา	79.18	23.576256	35.09	17.41534	50	1	15.551025390625	102.51771545410156	2.436467
BZA	บ้านเหลื่อม	นครราชสีมา	0	0	0	0	50	1	15.605039596557617	102.12367248535156	0
CCI	โชคชัย 1	นครราชสีมา	90.4	35.138252	25.439999	9.695517	100	2	14.74018669128418	102.09080505371094	3.861098
CCU	โชคชัย 2 (ช)	นครราชสีมา	0	0	0	0	50	1	0	0	0
CUM	ชุมพวง	นครราชสีมา	53.02	19.392334	22.07	16.182869	50	1	15.358675003051758	102.78495025634766	2.1744184
DTA	ด่านขุนทด 1	นครราชสีมา	74.37	23.369865	38.38	11.452961	50	1	15.140841484069824	101.73063659667969	2.7090642
DTU	ด่านขุนทด 3 (ช)	นครราชสีมา	0	0	0	0	50	1	0	0	0
DTV	ด่านขุนทด 2 (ช)	นครราชสีมา	0	0	0	0	25	1	0	0	0
HTA	หัวทะเล	นครราชสีมา	52.239998	7.63569	22.62	3.8315709	100	2	18.002532958984375	100.46849822998047	0.73522043
HTL	ห้วยแถลง	นครราชสีมา	60.399994	17.903576	29.420002	10.719185	50	2	15.004128456115723	102.58577728271484	2.0635478
KGA	คง	นครราชสีมา	69.24	22.960419	28.289999	16.574883	100	2	15.297297477722168	102.41720581054688	2.6153522
KON	ครบุรี	นครราชสีมา	66.009995	13.259125	18.9	11.537862	100	2	14.497146606445313	102.30338287353516	1.5406033
KOT	โคกกรวด 1 (นวนคร)	นครราชสีมา	79.31	23.233358	0.89	0.86	100	2	14.88447380065918	101.90103912353516	2.8641975
KOU	โคกกรวด 2 (ช)	นครราชสีมา	40.89	14.328538	7.3900003	1.5789661	25	1	14.923491477966309	101.95535278320313	0.9750527
NRA	นครราชสีมา 1	นครราชสีมา	92.07	23.849072	6.84	4.5693336	100	2	14.994790077209473	102.10343170166016	3.0048995
NRB	นครราชสีมา 2	นครราชสีมา	54.659996	10.137201	0.48	0.2875	100	2	14.950516700744629	102.01773834228516	1.27722
NRC	นครราชสีมา 3	นครราชสีมา	81.31	25.464195	22.859999	16.254557	100	2	15.094829559326172	102.10733032226563	3.1905987
NRD	นครราชสีมา 4	นครราชสีมา	101.72	32.89053	8.57	2.652234	100	2	14.954814910888672	102.12275695800781	4.0363584
NRE	นครราชสีมา 5	นครราชสีมา	58.92	20.00184	21.88	10.327118	50	1	14.952808380126953	102.05472564697266	2.4930828
NRF	นครราชสีมา 6	นครราชสีมา	61.22	16.012074	2.01	2.01	100	2	14.974061012268066	102.08314514160156	2.0175037
NRU	นครราชสีมา 7 (ช)	นครราชสีมา	0	0	0	0	50	1	0	0	0
NZA	โนนสูง	นครราชสีมา	0	0	0	0	50	1	15.097795486450195	102.27933502197266	0
PCA	ปากช่อง 1	นครราชสีมา	105.96	31.955093	3.04	1.2329967	100	2	14.700350761413574	101.446533203125	4.0103683
PCB	ปากช่อง 2	นครราชสีมา	68.05	24.507933	13.169999	11.192779	50	1	14.652929306030273	101.30921173095703	3.086367
PCC	ปากช่อง 3	นครราชสีมา	78.68001	23.778666	12.75	11.379253	100	2	14.57698917388916	101.4011459350586	2.9950716
PRV	ประทาย (ช)	นครราชสีมา	0	0	0	0	25	1	15.634865760803223	102.83333587646484	0
PWA	ปักธงชัย	นครราชสีมา	0	0	0	0	50	1	14.363933563232422	101.83844757080078	0
SFA	สีคิ้ว 1	นครราชสีมา	78.81999	25.067522	19.55	10.972249	100	2	14.870162963867188	101.7723617553711	2.5521421
SFB	สีคิ้ว 2	นครราชสีมา	50.3	11.109257	18.1	13.928681	50	1	14.84091567993164	101.59910583496094	1.3984656
XEA	เสิงสาง	นครราชสีมา	31.26	6.3160615	14.209999	5.620506	50	1	14.432156562805176	102.48467254638672	0.7764866
XNA	สูงเนิน	นครราชสีมา	47	16.239336	22.7	12.386633	50	1	14.903826713562012	101.91642761230469	2.0372114
CDA	ชัยบาดาล 1	ลพบุรี	0	0	0	0	100	2	15.206425666809082	101.10448455810547	0
CDB	ชัยบาดาล 2	ลพบุรี	77.72	24.350943	30.21	12.656522	100	2	15.077529907226563	100.97366333007813	2.5562773
KSR	โคกสำโรง	ลพบุรี	66.16	18.778786	32.489998	8.857204	50	1	15.06859302520752	100.69351196289063	2.138621
LBA	ลพบุรี 1	ลพบุรี	89.33	32.2489	0	0	100	2	14.7921142578125	100.65168762207031	3.643158
LBB	ลพบุรี 2	ลพบุรี	0	0	0	0	100	2	0	0	0
LBC	ลพบุรี 3 (ช)	ลพบุรี	25.210001	8.468745	7.16	5.5439997	25	1	14.766861915588379	100.71316528320313	1.0669289
NUA	หนองม่วง	ลพบุรี	32.54	13.595264	2.66	1.3723333	50	3	15.257158279418945	100.64425659179688	1.7123888
PXA	พัฒนานิคม 1	ลพบุรี	85.97	20.297897	35.09	14.206138	100	2	14.86388874053955	100.9164810180664	2.29917
PXB	พัฒนานิคม 2	ลพบุรี	0	0	0	0	100	3	14.80196762084961	100.91151428222656	0
TWA	ท่าวุ้ง	ลพบุรี	0	0	0	0	50	2	14.851885795593262	100.46379852294922	0
GTU	ภูเก็ต 5 (ช)	ภูเก็ต	0	0	0	0	50	1	0	0	0
KRN	กะรน	ภูเก็ต	117.27	33.46804	27.670002	19.151798	100	2	0	0	3.7650836
PAT	ป่าตอง	ภูเก็ต	146.90001	42.57848	5.74	4.2336526	150	3	0	0	5.35815
PKA	ภูเก็ต 1	ภูเก็ต	115.65	39.760536	10.3	8.363027	100	2	0	0	5.007451
PKB	ภูเก็ต 2	ภูเก็ต	111.43001	29.665565	1.99	1.99	113	4	0	0	3.7378142
PKC	ภูเก็ต 3	ภูเก็ต	89.6	20.362665	27.92	14.37244	100	2	0	0	2.3012052
PKD	ภูเก็ต 4	ภูเก็ต	0	0	0	0	100	2	0	0	0
PKU	ภูเก็ต 3 (ช)	ภูเก็ต	0	0	0	0	50	1	0	0	0
TLG	ถลาง 1	ภูเก็ต	120.51001	35.184517	40.68	21.577515	100	2	0	0	4.4314365
TLH	ถลาง 2	ภูเก็ต	111.03999	30.45394	14.48	7.4791265	100	2	0	0	3.7451367
TLU	ถลาง 3 (ช)	ภูเก็ต	0	0	0	0	50	1	0	0	0
RNA	ระนอง 1	ระนอง	46.94	7.134034	4.05	2.050735	63	2	9.742683410644531	98.59456634521484	0.88940644
RNB	ระนอง 2	ระนอง	107.47	29.53189	1.72	1.3475	100	2	10.002864837646484	98.65724182128906	3.7209547
SSA	สมุทรสงคราม	สมุทรสงคราม	80.59	32.32666	4.67	3.401771	100	2	13.45059871673584	100.08061218261719	4.065215
