sb	name	pv	pos_peak	pos_avg	neg_peak	neg_avg	max pw	trxno	x	y	sb_es
NLL	หนองละลอก	ระยอง	26.33	4.9192677	2.34	1.2337148	100	2	12.83182430267334	101.25228881835938	0.617683
PLU	ปลวกแดง 1	ระยอง	96.05	29.788801	0	0	100	2	13.00226879119873	101.1366195678711	3.7533548
PLV	ปลวกแดง 2	ระยอง	88.63	26.783792	9.98	7.6557345	100	2	13.003719329833984	101.1656265258789	3.364875
PLW	ปลวกแดง 3	ระยอง	78.22001	21.963245	13.15	7.908	100	2	13.005311012268066	101.19661712646484	2.7659411
PLX	ปลวกแดง 4	ระยอง	83.049995	43.13335	1.5	1.2278788	100	2	12.989296913146973	101.10343170166016	5.434282
PLY	ปลวกแดง 5	ระยอง	0	0	0	0	0	0	0	0	0
RAA	ระยอง 1	ระยอง	118.6	39.98846	8.14	6.6983337	100	2	12.689839363098145	101.27140045166016	5.0361567
RAB	ระยอง 2	ระยอง	89.33001	30.107328	11.17	6.572055	100	2	12.753117561340332	101.15868377685547	3.5819306
RAC	ระยอง 3	ระยอง	51.489998	8.796999	7.86	5.8152423	90	2	12.722200393676758	101.13963317871094	1.031306
RAD	ระยอง 4	ระยอง	117.60999	36.101173	6.8999996	6.8999996	100	2	12.695045471191406	101.23102569580078	4.2804956
WCN	วังจันทร์	ระยอง	33.480003	13.322093	5.04	4.6590004	50	1	12.963801383972168	101.50122833251953	1.6783338
AKA	อมตะนคร 1	ชลบุรี	70.89001	27.068218	12.12	11.196209	100	2	13.452253341674805	101.06233978271484	3.4098895
AKB	อมตะนคร 2	ชลบุรี	67.53	19.17724	0.11	0.06	100	2	13.433370590209961	101.04955291748047	2.015146
AKC	อมตะนคร 3	ชลบุรี	90.39	35.542713	0	0	100	2	13.43425178527832	101.09799194335938	4.0092716
AKE	อมตะนคร 5	ชลบุรี	0	0	0	0	100	2	13.422398567199707	101.01516723632813	0
AKU	อมตะนคร 6 (ช)	ชลบุรี	89.41	36.709873	0.71	0.13560002	100	2	0	0	4.6242194
APA	อ่าวไผ่ 1	ชลบุรี	68.479996	21.580853	4.39	4.39	90	2	13.124838829040527	100.92778015136719	2.7191472
